ECO,ECO_move
C96,1. e4 e5 2. Nf3 Nc6 3. Bb5
C97,1. e4 e5 2. Nf3 Nc6 3. Bb5
C98,1. e4 e5 2. Nf3 Nc6 3. Bb5
C99,1. e4 e5 2. Nf3 Nc6 3. Bb5
D00,1. d4 d5
D01,1. d4 d5 2. Nc3 Nf6 3. Bg5
D02,1. d4 d5 2. Nf3
D03,1. d4 d5 2. Nf3 Nf6 3. Bg5
D04,1. d4 d5 2. Nf3 Nf6 3. e3
D05,1. d4 d5 2. Nf3 Nf6 3. e3
D06,1. d4 d5 2. c4
D07,1. d4 d5 2. c4 Nc6
D08,1. d4 d5 2. c4 Nc6
D09,1. d4 d5 2. c4 Nc6
D10,1. d4 d5 2. c4 c6
D11,1. d4 d5 2. c4 c6
D12,1. d4 d5 2. c4 c6
D13,1. d4 d5 2. c4 c6
D14,1. d4 d5 2. c4 c6
D15,1. d4 d5 2. c4 c6
D16,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4
D17,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5
D18,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5
D19,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5
D20,1. d4 d5 2. c4 dxc4
D21,1. d4 d5 2. c4 dxc4
D22,1. d4 d5 2. c4 dxc4
D23,1. d4 d5 2. c4 dxc4
D24,1. d4 d5 2. c4 dxc4
D25,1. d4 d5 2. c4 dxc4
D26,1. d4 d5 2. c4 dxc4
D27,1. d4 d5 2. c4 dxc4
D28,1. d4 d5 2. c4 dxc4
D29,1. d4 d5 2. c4 dxc4
D30,1. d4 d5 2. c4 e6
D31,1. d4 d5 2. c4 e6
D32,1. d4 d5 2. c4 e6
D33,1. d4 d5 2. c4 e6
D34,1. d4 d5 2. c4 e6
D35,1. d4 d5 2. c4 e6
D36,1. d4 d5 2. c4 e6
D37,1. d4 d5 2. c4 e6
D38,1. d4 d5 2. c4 e6
D39,1. d4 d5 2. c4 e6
D40,1. d4 d5 2. c4 e6
D41,1. d4 d5 2. c4 e6
D42,1. d4 d5 2. c4 e6
D43,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6
D44,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6
D45,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6
D46,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6
D47,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6
D48,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6
D49,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6
D50,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D51,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D52,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D53,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D54,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D55,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D56,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D57,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D58,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D59,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D60,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D61,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D62,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D63,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D64,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D65,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D66,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D67,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D68,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D69,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5
D70,1. d4 Nf6 2. c4 g6 3. f3 d5
D71,1. d4 Nf6 2. c4 g6 3. f3 d5
D72,1. d4 Nf6 2. c4 g6 3. f3 d5
D73,1. d4 Nf6 2. c4 g6 3. f3 d5
D74,1. d4 Nf6 2. c4 g6 3. f3 d5
D75,1. d4 Nf6 2. c4 g6 3. f3 d5
D76,1. d4 Nf6 2. c4 g6 3. f3 d5
D77,1. d4 Nf6 2. c4 g6 3. f3 d5
D78,1. d4 Nf6 2. c4 g6 3. f3 d5
D79,1. d4 Nf6 2. c4 g6 3. f3 d5
D80,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D81,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D82,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D83,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D84,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D85,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D86,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D87,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D88,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D89,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D90,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D91,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D92,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D93,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D94,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D95,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D96,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D97,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D98,1. d4 Nf6 2. c4 g6 3. Nc3 d5
D99,1. d4 Nf6 2. c4 g6 3. Nc3 d5
E00,1. d4 Nf6 2. c4 e6
E01,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E02,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E03,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E04,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E05,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E06,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E07,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E08,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E09,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2
E10,1. d4 Nf6 2. c4 e6 3. Nf3
E11,1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+
E12,1. d4 Nf6 2. c4 e6 3. Nf3 b6
E13,1. d4 Nf6 2. c4 e6 3. Nf3 b6
E14,1. d4 Nf6 2. c4 e6 3. Nf3 b6
E15,1. d4 Nf6 2. c4 e6 3. Nf3 b6
E16,1. d4 Nf6 2. c4 e6 3. Nf3 b6
E17,1. d4 Nf6 2. c4 e6 3. Nf3 b6
E18,1. d4 Nf6 2. c4 e6 3. Nf3 b6
E19,1. d4 Nf6 2. c4 e6 3. Nf3 b6
E20,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E21,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E22,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E23,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E24,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E25,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E26,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E27,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E28,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E29,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E30,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E31,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E32,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E33,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E34,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E35,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E36,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E37,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E38,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E39,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E40,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E41,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E42,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
